,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
18000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
19800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
21600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
23400,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
25200,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
27000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
28800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
30600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
32400,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
34200,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
36000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
37800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
39600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
41400,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
43200,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
45000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
46800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
48600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
50400,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
52200,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
54000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
55800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
57600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
59400,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
61200,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
63000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
64800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
66600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
68400,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
70200,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
72000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
73800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
75600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
77400,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
79200,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
81000,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
82800,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
84600,1.5413724,1.4727,0.5949675,0.5849368,0.52899504,0.45144778,0.34728107,0.30484208,0.2643337,0.1543224,0.11574179,0.07253061,0.06950292,0.02205008,0.0004444662,0.037856128,-0.10460064,-0.20838125,-0.21301188,0.59913456,0.109180674,0.037422284,0.39157325,0.25308725,0.1870279,-0.08361348,-0.01416897,0.01438109,0.05785259,0.03547476,0.007696918,-0.020080918,0.028183756,0.0902977
86400,1.5385852,1.469913,0.59467834,0.5846478,0.528706,0.45115876,0.34699202,0.3045531,0.2640447,0.1543224,0.11574179,0.07253061,0.06921388,0.021761045,0.00015542869,0.037718512,-0.10446302,-0.20824364,-0.21287425,0.5967741,0.109180674,0.037422284,0.38921282,0.2508002,0.1875279,-0.08404013,-0.014595626,0.013954435,0.05777926,0.035401423,0.007623582,-0.020154256,0.028257092,0.09037104
