,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
18000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
19800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
21600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
23400,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
25200,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
27000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
28800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
30600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
32400,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
34200,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
36000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
37800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
39600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
41400,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
43200,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
45000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
46800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
48600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
50400,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
52200,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
54000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
55800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
57600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
59400,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
61200,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
63000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
64800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
66600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
68400,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
70200,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
72000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
73800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
75600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
77400,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
79200,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
81000,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
82800,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
84600,1.5433671,1.474695,0.59882236,0.5887917,0.53285,0.45530275,0.35113603,0.30869707,0.26340675,0.1543224,0.11574179,0.07253061,0.06857593,0.0211231,-0.00048251395,0.03798051,-0.104725026,-0.20850565,-0.21313624,0.5971501,0.109180674,0.037422284,0.38958877,0.25115114,0.18787886,-0.08441608,-0.014971567,0.013578492,0.057804227,0.03542639,0.0076485514,-0.020129288,0.028232124,0.09034607
86400,1.5385852,1.469913,0.59467834,0.5846478,0.528706,0.45115876,0.34699202,0.3045531,0.2640447,0.1543224,0.11574179,0.07253061,0.06921388,0.021761045,0.00015542867,0.037718512,-0.10446302,-0.20824364,-0.21287425,0.5967741,0.109180674,0.037422284,0.38921282,0.2508002,0.1875279,-0.08404013,-0.014595626,0.013954435,0.05777926,0.035401423,0.007623582,-0.020154256,0.028257092,0.09037104
